,count,mean,std,min,25%,50%,75%,max
Frequency_Hz,2000.0,2785.78,4184.398844331692,10.0,100.0,1000.0,3250.0,10000.0
Real_Impedance_ohm,2000.0,2284.952467815533,2716.1187182075323,225.290205160698,635.1110859863466,1205.2508878180138,2816.2639251323017,20009.381844371244
Imag_Impedance_ohm,2000.0,-686.3496411436239,814.9495120405438,-5996.870008879671,-837.7165902061067,-368.48764932454696,-192.77867962097196,-50.78967085372676
Magnitude_ohm,2000.0,2385.995429103545,2835.5868132420383,237.135388565179,664.7640230044011,1258.902714644595,2936.380714919074,20888.700574646908
Phase_deg,2000.0,-16.737907404608332,1.3788528430768894,-24.816065992368102,-17.20844556306285,-16.722282813379866,-16.272315287372056,-9.07256982529611
Charge_Transfer_Resistance_ohm,2000.0,2517.636553219423,3015.380338437204,235.53857792503825,699.0817453789725,1327.5584955114077,3080.5277622068006,23205.629960215763
Double_Layer_Capacitance_F,2000.0,3.0104265194113588e-06,1.1679273482787674e-06,1.0006309783122269e-06,2.002568528713141e-06,2.9819367404671654e-06,4.046829971137504e-06,4.997340491324462e-06
Temperature_C,2000.0,27.431888558796476,4.371372811461915,20.019798034764943,23.556210007479322,27.315949388082714,31.38229134705918,34.997077162007024
pH,2000.0,7.009146184661667,0.5782337163038477,6.000504908981124,6.512455827002103,7.030120077156907,7.5022030901325,7.999849653666353
Conductivity_uS_cm,2000.0,502.29317899819404,57.092749985781026,400.12232703111744,453.8483694792311,502.8442459982987,550.3959631224675,599.9742876548268
Real_Impedance_abs,2000.0,2284.952467815533,2716.1187182075323,225.290205160698,635.1110859863466,1205.2508878180138,2816.2639251323017,20009.381844371244
Imag_Impedance_abs,2000.0,686.3496411436239,814.9495120405438,50.78967085372676,192.77867962097196,368.48764932454696,837.7165902061067,5996.870008879671
Impedance_real_imag_ratio,2000.0,3.350412445932751,0.32371130561231054,2.1626055040004157,3.2287931746244856,3.328469985138339,3.425877341961678,6.262405161554056
Impedance_magnitude_log1p,2000.0,7.295744293912444,0.9433917213230011,5.472839371449793,6.500934594015403,7.138789662906381,7.985273502287882,9.947011521017867
Frequency_log10,2000.0,2.5155,1.1119253297634102,1.0,2.0,3.0,3.25,4.0
Charge_Transfer_Resistance_log1p,2000.0,7.346516533166023,0.9452723345147898,5.466111314819773,6.551197052233462,7.191849730959583,8.033180388648514,10.052193290975978
Capacitance_log10_abs,2000.0,-5.559407952419302,0.19068038419855468,-5.999292252122854,-5.698195819554014,-5.525355956924521,-5.3927777389750915,-5.301174162682038
Conductance_proxy,2000.0,0.0009847045073766738,0.0007706011197550174,4.787277200065163e-05,0.0003405553272701542,0.0007943427523638514,0.0015042952958621517,0.004217000280078076
Phase_rad,2000.0,-0.29213159410435413,0.0240655220121764,-0.4331220589590174,-0.3003440342256562,-0.29185889354313915,-0.2840054786872496,-0.15834621506850385
Phase_sin,2000.0,-0.2879114521934091,0.023052640914293442,-0.4197066108104665,-0.29584885749785245,-0.28773300338007834,-0.2802029084424343,-0.1576853278852959
Phase_cos,2000.0,0.9573549167501276,0.006886526073612296,0.9076598266101632,0.9552347631463035,0.9577106654751749,0.9599407950978209,0.9874894112696635
Temp_pH_interaction,2000.0,192.1885445614777,34.128281771623435,122.81322263307386,164.11276758619243,190.63098722356318,217.31036576466653,276.1042407381019
Conductivity_pH_ratio,2000.0,72.18589569356257,10.390273885382872,50.71645882417619,64.43929336150184,71.74354751357001,79.69490743314078,98.85922101941976
Rct_Cdl_product,2000.0,0.0076234780158524395,0.010193353627712797,0.00030854215608854343,0.0019583695927767454,0.003886176882355187,0.00905209010604626,0.09834285312812682
Normalized_Rct_by_Z,2000.0,1.0535853298214133,0.0552687224743412,0.9242207329085838,1.0068337347011762,1.0536466944591476,1.1006431882760281,1.162071232177649
Concentration_mg_L,2000.0,1.0186449176508863,0.7774631123917406,0.0500606118520184,0.3549382073886242,0.8257087312614538,1.5722945456145236,2.9966950227858997
exceedance_ratio,2000.0,91.15820211902756,87.65831956705165,0.5032182636042787,10.169942957103817,66.62042598483755,147.63520903597012,332.4706833806467
